Model,MAE,RMSE,MAPE,sMAPE,AIC,Execution Time,Comments
Naive Model,0.3592471358428805,0.5993722848471396,100.0,200.0,-1932.792437388472,0.0206680297851562,First Model Run
Decision Tree,0.1178396072013093,0.3432777406143738,inf,57.71543086172345,0.0,0.0502338409423828,First Model Run
Random Forest,0.0728314238952536,0.269872977334252,inf,38.69565217391304,0.0,111.9817361831665,First Model Run
Logistics Regression Model,0.4296235679214402,0.6554567628161603,inf,131.57894736842107,-986.4016618649785,0.2172250747680664,First Model Run
GridSearchCV Model,0.1980360065466448,0.4450123667345042,inf,77.93880837359099,-1932.792437388472,1.4336879253387451,First Model Run
Naive Model,0.3592471358428805,0.5993722848471396,100.0,200.0,-1932.792437388472,0.0186729431152343,First Model Run
Decision Tree,0.1178396072013093,0.3432777406143738,inf,57.71543086172345,0.0,0.0436880588531494,First Model Run
Random Forest,0.0687397708674304,0.2621827051264641,inf,37.086092715231786,0.0,95.56981492042542,First Model Run
Logistics Regression Model,0.053567886352539,,,,,,First Model Run
GridSearchCV Model,1.350600004196167,,,,,,First Model Run
Naive Model,0.0216472148895263,,,,,,First Model Run
Decision Tree,0.1178396072013093,0.3432777406143738,inf,57.71543086172345,0.0,0.0512447357177734,First Model Run
Random Forest,0.069558101472995,0.263738699232773,inf,37.280701754385966,0.0,102.86797308921814,First Model Run
Kaplan-Mieier,0.1484533551554828,0.2416422942353817,inf,126.97719562358228,0.0,0.3762619495391845,First Model Run
Logistics Regression Model,,,,,,0.0819311141967773,First Model Run
GridSearchCV Model,,,,,,1.59985613822937,First Model Run
Naive Model,,,,,,0.0244450569152832,First Model Run
Decision Tree,,,,,,0.0567500591278076,First Model Run
Random Forest,,,,,,113.04497408866882,First Model Run
Kaplan-Mieier,,,,,,0.2072446346282959,First Model Run
Kaplan-Meier,,,,,,0.0144011974334716,First Model Run
Logistics Regression Model,,,,,,0.05824089050292969,First Model Run
GridSearchCV Model,,,,,,1.7571749687194824,First Model Run
Naive Model,,,,,,0.023955106735229492,First Model Run
Decision Tree,,,,,,0.05784177780151367,First Model Run
Random Forest,,,,,,120.68372011184692,First Model Run
Kaplan-Meier,,,,,,0.01595020294189453,First Model Run
